;Susceptible;Infetcted;Recovered;Dead
62;0,0449713582839971214679795792;5261,2197051046168951716227275;9852958,687075469298961953213;141780,04824806780014575369537
63;0,0449074002284703511650989866;4509,4755497592146134175288446;9853699,767451074034998901673;141790,71209176652191732963213
64;0,0448526533046556663864681901;3865,1436118062889959438333423;9854334,959292797261514448771;141799,85224274314483394100863
65;0,0448057820724936396733903040;3312,8764032093731261173759180;9854879,392378688833078734574;141807,68641231972130150837632
66;0,0447656470550684329367636685;2839,5193465169817142652426071;9855346,034683483753350499107;141814,40120435220986680271302
67;0,0447312753629550277012474016;2433,7974430130481341905829587;9855746,001265721716774822754;141820,15655998987213595896115
68;0,0447018358842757236365853825;2086,0467109769204436336152734;9856088,819019837554697724456;141825,08956734964058291829138
69;0,0446766182890914894736045885;1787,9839971204574098430683148;9856382,653599412303777356277;141829,31772684894972131118065
70;0,0446550152308526990895807074;1532,5096782890541157946837053;9856634,503916720985349657029;141832,94174997472968184919709
71;0,0446365072353007407958499053;1313,5385539339917962808869572;9856850,368851405700686538966;141836,04795815307221643935069
72;0,0446206498542188164264926151;1125,8549013458129357946205619;9857035,390139145545816700817;141838,71033885878702868813579
73;0,0446070627321764064672139484;964,9882411766542977586551746;9857193,974843820827467371316;141840,99230793978605846356105
74;0,0445954202922507206613195270;827,1068540824991473064821157;9857329,900330363710487027035;141842,94822013349811494582086
75;0,0445854437942528919863755173;708,92651213422922576791185094;9857446,404238667331081204777;141844,62466375464544013532444
76;0,0445768945582520400306071680;607,63225105036075502447767482;9857546,261601662238226434371;141846,06157039284276650111994
77;0,0445695681787584551824299996;520,81131992661840756941122099;9857631,850944453046184213533;141847,29316605215664976187243
78;0,0445632895820509463066802308;446,39571137681782363058329673;9857705,210938945567005622596;141848,34878638803311980051332
79;0,0445579088018015232985278728;382,61290319750462815922291075;9857768,088963433787344779704;141849,25357545990622553777398
80;0,0445532973671541022248889768;327,94363826093467208873801490;9857821,982723798464425260417;141850,02908464323374854861912
81;0,0445493452133922132107151272;281,08573698612932098506267443;9857868,175927702076080500345;141850,69378596658120630138068
82;0,0445459580387967096459029689;240,92308042907846065300325159;9857907,768861511836581999098;141851,26351210104616063825180
83;0,0445430550426721005628451354;206,49902519330875240250148414;9857941,704598269418205171078;141851,75183348223037032585645
84;0,0445405669891475301583031446;176,99361692456473523555161459;9857970,791460960932838009487;141852,17038154751327922480137
85;0,0445384345495185396956002277;151,70405963268329251511609260;9857995,722276144878670715523;141852,52912578788851822966332
86;0,0445366068828320623775762060;130,02797563502536915692946424;9858017,090876544568060204081;141852,83661121352373857661019
87;0,0445350404203004456067456418;111,44905738627415637668297159;9858035,406245684015919345328;141853,10016188928962383238002
88;0,0445336978241539432926166189;95,52476943229074024736983194;9858051,104641481568250514958;141853,32605538831685529437737
89;0,0445325470958052446484429962;81,87580755808639399672916190;9858064,559987575888060498373;141853,51967231892974026024698
90;0,0445315608118486203757398848;70,177064054974441579325974800;9858076,092779897641372567055;141853,68562448657233723324073
91;0,0445307154695170466837373394;60,149883906557741344267592563;9858085,977720634527772480943;141853,82786474344496912810320
92;0,0445299909258837607075938667;51,555427441895332003724838915;9858094,450261424794334333150;141853,94978114238444990241526
93;0,0445293699173503292632921569;44,188981359383618416066102664;9858101,712211633038448241103;141854,05427763766058301356506
94;0,0445288376479117977537642858;37,875082614343871196131106569;9858107,936545293088769349423;141854,14384325491944765668942
95;0,0445283814363377693668386932;32,463339025092181044391655559;9858113,271521215623491777907;141854,22061137784798940833219
96;0,0445279904138294889755142170;27,824847047563026247962912459;9858117,844214398300761850731;141854,28641056372238241232795
97;0,0445276552649227776225943062;23,849121392650382770071640330;9858121,763542853857496690801;141854,34280809822719776150194
98;0,0445273680054469056108182612;20,441463352127696993214152366;9858125,122861952879393463843;141854,39114732698746263732968
99;0,0445271217922339367503639172;17,520705148706859076956919966;9858128,002188076479094783173;141854,43257965302181220311749
